country,channel,creative,spend,impressions,clicks,installs,d1_retained,d7_retained,payers_d30,revenue_d7,revenue_d30,CTR_%,CVR_%,CPI,D1_Retention_%,D7_Retention_%,Payer_Rate_%,CAC,D7_ROAS_%,D30_ROAS_%,recommendation
US,TikTok,B_Squad,3791.3,340360,10570,3057,1239,585,122,1181.79,4654.36,3.11,28.92,1.24,40.53,19.14,3.99,31.08,31.17,122.76,Scale Candidate
US,Google_YouTube,B_Squad,2951.05,207098,4125,1538,726,355,77,758.96,3045.64,1.99,37.28,1.92,47.2,23.08,5.01,38.33,25.72,103.21,Scale Candidate
US,TikTok,E_ShortMatch,3226.46,287325,9074,2727,1002,489,90,958.94,3288.0,3.16,30.05,1.18,36.74,17.93,3.3,35.85,29.72,101.91,Keep / Optimize
US,Meta,A_Gunplay,3727.53,292235,8577,2895,965,486,93,995.4,3757.25,2.93,33.75,1.29,33.33,16.79,3.21,40.08,26.7,100.8,Keep / Optimize
US,TikTok,A_Gunplay,3324.36,271879,10227,3036,959,454,82,868.04,3166.41,3.76,29.69,1.09,31.59,14.95,2.7,40.54,26.11,95.25,Keep / Optimize
Brazil,TikTok,D_Creator,2560.24,644219,26094,8288,2585,1128,131,598.07,2424.99,4.05,31.76,0.31,31.19,13.61,1.58,19.54,23.36,94.72,Keep / Optimize
US,TikTok,C_Dynamic,3404.72,297206,8312,2512,963,458,89,930.61,3219.49,2.8,30.22,1.36,38.34,18.23,3.54,38.26,27.33,94.56,Keep / Optimize
US,Meta,B_Squad,3637.06,268448,6002,1862,784,380,84,809.27,3359.89,2.24,31.02,1.95,42.11,20.41,4.51,43.3,22.25,92.38,Keep / Optimize
US,Google_YouTube,C_Dynamic,3120.32,217936,3908,1606,736,345,72,762.79,2868.94,1.79,41.1,1.94,45.83,21.48,4.48,43.34,24.45,91.94,Keep / Optimize
US,Meta,E_ShortMatch,3672.62,287368,6731,2282,897,439,89,945.14,3366.96,2.34,33.9,1.61,39.31,19.24,3.9,41.27,25.73,91.68,Keep / Optimize
