country,creative,spend,impressions,clicks,installs,d1_retained,d7_retained,payers_d30,revenue_d7,revenue_d30,CTR_%,CVR_%,CPI,D1_Retention_%,D7_Retention_%,Payer_Rate_%,CAC,D7_ROAS_%,D30_ROAS_%
Brazil,A_Gunplay,6489.91,1468660,46258,15542,4806,2151,257,1164.25,4582.72,3.15,33.6,0.42,30.92,13.84,1.65,25.25,17.94,70.61
Brazil,B_Squad,6266.32,1455610,36599,11507,4458,1944,280,1280.73,5132.36,2.51,31.44,0.54,38.74,16.89,2.43,22.38,20.44,81.9
Brazil,C_Dynamic,7496.03,1674341,38615,13599,5057,2246,290,1245.89,5106.82,2.31,35.22,0.55,37.19,16.52,2.13,25.85,16.62,68.13
Brazil,D_Creator,7977.8,1832969,61878,21947,7427,3240,394,1761.97,7106.84,3.38,35.47,0.36,33.84,14.76,1.8,20.25,22.09,89.08
Brazil,E_ShortMatch,6998.45,1557450,38590,13965,5085,2261,287,1294.55,4954.28,2.48,36.19,0.5,36.41,16.19,2.06,24.38,18.5,70.79
US,A_Gunplay,10019.32,758460,23694,7894,2664,1283,245,2555.32,9381.68,3.12,33.32,1.27,33.75,16.25,3.1,40.9,25.5,93.64
US,B_Squad,10379.41,815906,20697,6457,2749,1320,283,2750.02,11059.89,2.54,31.2,1.61,42.57,20.44,4.38,36.68,26.49,106.56
US,C_Dynamic,9824.49,774630,17978,6107,2535,1176,243,2549.12,9054.22,2.32,33.97,1.61,41.51,19.26,3.98,40.43,25.95,92.16
US,D_Creator,9388.86,704494,17564,5350,2003,915,184,1837.39,7227.79,2.49,30.46,1.75,37.44,17.1,3.44,51.03,19.57,76.98
US,E_ShortMatch,10844.3,829399,20741,7036,2766,1332,263,2722.26,10073.16,2.5,33.92,1.54,39.31,18.93,3.74,41.23,25.1,92.89
